Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed R1  Disp.,Total Strike Missed R1  Disp.,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Total Strike Landed R2  Disp.,Total Strike Missed R2  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Total Strike Landed R3  Disp.,Total Strike Missed R3  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.,Total Strike Landed R4  Disp.,Total Strike Missed R4  Disp.,Non-Sig. Strike Landed R4  Disp.,Non-Sig. Strike Missed R4  Disp.,Sig. Strike Landed R4  Disp.,Sig. Strike Missed R4  Disp.,Head R4  Disp.,Body R4  Disp.,Leg R4  Disp.,Distance R4  Disp.,Clinch R4  Disp.,Ground R4  Disp.,Knockdowns R4  Disp.,TD Completed R4  Disp.,TD Missed R4  Disp.,Sub. Att R4  Disp.,Rev. R4  Disp.,Ctrl Time (Minutes) R4  Disp.,Total Strike Landed R5  Disp.,Total Strike Missed R5  Disp.,Non-Sig. Strike Landed R5  Disp.,Non-Sig. Strike Missed R5  Disp.,Sig. Strike Landed R5  Disp.,Sig. Strike Missed R5  Disp.,Head R5  Disp.,Body R5  Disp.,Leg R5  Disp.,Distance R5  Disp.,Clinch R5  Disp.,Ground R5  Disp.,Knockdowns R5  Disp.,TD Completed R5  Disp.,TD Missed R5  Disp.,Sub. Att R5  Disp.,Rev. R5  Disp.,Ctrl Time (Minutes) R5  Disp.
Brandon Moreno,Amir Albazi,1,0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Eric Colon 46 - 49. Sal D'amato 45 - 50. Derek Cleary 45 - 50.,Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,5,2,-5,0,0,2,-5,4,-1,-1,2,0,0,0,0,0,0,0,0,23,11,0,0,23,11,21,1,1,23,0,0,0,-1,0,0,0,-0.033333333,19,6,0,0,19,6,14,4,1,16,3,0,0,0,-1,0,0,0,-10,4,0,0,-10,4,-11,1,0,-9,-1,0,0,0,-1,0,0,0,23,-2,0,-1,23,-1,21,2,0,22,1,0,0,0,-1,0,0,-0.116666667
Erin Blanchfield,Rose Namajunas,1,0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Blake Grice,Junichiro Kamijo 47 - 48. Mike Bell 47 - 48. Derek Cleary 47 - 48.,Women's Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,5,-11,18,0,0,-11,18,-11,1,-1,-11,0,0,0,0,0,0,0,0,2,-1,0,-1,2,0,4,-3,1,3,-1,0,0,-1,2,0,0,0.116666667,38,22,36,17,2,5,0,0,2,3,-2,1,0,1,0,0,0,3.633333333,-12,39,-37,-4,25,43,16,4,5,31,-2,-4,0,-1,-1,0,0,-3.25,45,3,37,5,8,-2,7,1,0,2,2,4,0,1,0,0,0,4.133333333
Caio Machado,Brendson Ribeiro,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 28 - 29. Thomas Collins 29 - 28. Mike Bell 28 - 29.,Light Heavyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,6,3,0,0,6,3,-3,2,7,6,0,0,0,0,0,0,0,0,10,12,0,0,10,12,1,7,2,10,0,0,0,0,0,0,0,0,14,11,3,0,11,11,1,8,2,11,0,0,0,0,0,0,0,0.033333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariane da Silva,Jasmine Jasudavicius,0,1,Submission,3,2:28,3 Rnd (5-5-5),Luke Boutin,D'Arce Choke On Ground,Women's Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,7,-10,-7,-7,14,-3,7,8,-1,14,0,0,0,-1,0,0,0,-0.533333333,-73,-26,-65,-26,-8,0,-11,3,0,2,0,-10,0,-1,0,0,0,-3.7,-21,-2,-21,-7,0,5,1,-1,0,1,0,-1,0,-1,-2,-1,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Andre Barriault,Dustin Stoltzfus,0,1,KO/TKO,1,4:28,3 Rnd (5-5-5),Marc Goddard,Punch to Head In Clinch,Middleweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,1,-10,-5,-4,-2,-6,-3,-5,0,-1,-2,0,-4,-1,0,0,-1,0,-3.883333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Malott,Trevin Giles,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Andy Social,Eric Colon 27 - 30. Thomas Collins 28 - 29. Mike Bell 28 - 29.,Welterweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,3,18,0,0,3,18,-2,4,1,3,0,0,0,0,0,0,0,0,11,11,0,0,11,11,0,6,5,11,0,0,0,0,1,0,0,0,11,-2,0,0,11,-2,1,6,4,11,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiemann Zahabi,Pedro Munhoz,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 27 - 30. Eric Colon 28 - 29. Mike Bell 28 - 29.,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,4,-25,0,0,4,-25,1,4,-1,5,-1,0,0,0,1,0,0,0,20,-37,1,1,19,-38,21,1,-3,19,0,0,0,0,-3,0,0,-0.033333333,-9,-72,0,0,-9,-72,-6,-1,-2,-9,0,0,0,0,-3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Jourdain,Victor Henry,1,0,Submission,2,3:43,3 Rnd (5-5-5),Blake Grice,Guillotine Choke Standing,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,2,10,4,0,2,10,2,7,5,-2,5,6,-1,0,-2,0,0,0,-1.016666667,1,-3,-4,-5,5,2,4,-2,3,4,1,0,0,-2,0,1,0,-2.516666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Shore,Youssef Zalal,0,1,Submission,2,0:59,3 Rnd (5-5-5),Luke Boutin,Arm Triangle From Half Guard,Featherweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,2,-4,-1,-4,1,0,-2,4,-1,-3,-1,0,1,0,1,1,0,0,0.166666667,-7,-4,-2,-2,-5,-2,-5,0,0,-3,0,-2,-1,0,0,-1,0,-0.466666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandr Romanov,Rodrigo Nascimento,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Jason Tatlow 27 - 30. Thomas Collins 27 - 30. Sal D'amato 27 - 30.,Heavyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,28,4,27,1,1,3,2,-1,0,-1,0,2,0,4,1,1,0,4.783333333,2,21,-14,0,7,-13,7,-1,1,6,1,0,0,2,2,0,0,2.766666667,9,-3,3,0,6,-3,9,-2,-1,4,2,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serhiy Sidey,Garrett Armfield,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Andy Social,Derek Cleary 28 - 29. Mike Bell 29 - 28. Junichiro Kamijo 28 - 29.,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,-1,5,3,0,-4,5,-12,5,3,-5,1,0,0,-1,1,1,0,-0.366666667,-4,-2,0,0,-4,-2,-6,3,-1,-5,1,0,0,0,2,0,0,-0.033333333,3,2,-2,0,5,2,1,5,-1,5,1,-1,0,-3,0,1,1,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Anheliger,Cody Gibson,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Derek Cleary 26 - 30. Junichiro Kamijo 27 - 30. Ziad Harb 27 - 30.,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,-10,-6,-11,2,1,-8,0,0,1,1,0,0,0,-2,0,-1,0,-3.616666667,-18,-8,-9,-7,-9,-1,-9,0,0,0,0,-9,0,-1,-1,-1,0,-4.65,28,-2,25,-1,3,-1,2,0,1,4,0,-1,0,-2,0,0,0,-4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamey-Lyn Horth,Ivana Petrovic,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Blake Grice,Eric Colon 27 - 30. Thomas Collins 29 - 28. Mike Bell 28 - 29.,Women's Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,-10,-7,-12,-4,2,-3,0,2,0,1,1,0,0,0,0,0,-1,-2.35,7,-7,6,0,1,-7,0,2,-1,0,1,0,0,-1,-2,0,0,-2.35,-14,-3,-15,-4,1,1,0,1,0,-5,6,0,0,1,0,0,-1,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilia Topuria,Max Holloway,1,0,KO/TKO,3,1:34,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance,UFC Featherweight Title Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,-11,-20,-3,0,-8,-20,-4,-4,0,-8,0,0,0,2,0,0,0,0.683333333,-3,-37,0,0,-3,-37,-3,2,-2,-3,0,0,0,0,0,0,0,0,8,1,1,0,7,1,9,0,-2,3,0,4,1,0,0,0,0,0.066666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Whittaker,Khamzat Chimaev,0,1,Submission,1,3:34,5 Rnd (5-5-5-5-5),Jason Herzog,Rear Naked Choke,Middleweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,1,-23,-6,-22,-5,-1,-1,-2,-1,2,2,0,-3,0,-2,-2,-1,0,-3.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magomed Ankalaev,Aleksandar Rakic,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Sal D'amato 28 - 29. Jacob Montalvo 28 - 29. Tony Weeks 28 - 29.,Light Heavyweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,-3,-8,0,0,-3,-8,3,5,-11,-3,0,0,0,0,0,0,0,0,4,4,0,1,4,3,5,4,-5,5,-1,0,0,0,0,0,0,0.116666667,15,7,14,7,1,0,2,4,-5,-2,3,0,0,0,-1,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerone Murphy,Dan Ige,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Ben Cartlidge 28 - 29. Hadi Mohamed Ali 28 - 29.,Featherweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,-14,-14,1,-1,-15,-13,-16,2,-1,-5,-2,-8,-1,0,0,0,-1,-1.133333333,24,6,16,1,8,5,7,3,-2,6,2,0,0,1,-1,0,-1,0.233333333,16,-1,3,3,13,-4,10,2,1,4,6,3,0,1,1,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shara Magomedov,Armen Petrosyan,1,0,KO/TKO,2,4:52,3 Rnd (5-5-5),Kerry Hatley,Spinning Back Fist Head,Middleweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,2,-11,-19,2,0,-13,-19,-2,8,-19,-13,0,0,0,0,0,0,0,-0.133333333,1,-4,0,-1,1,-3,4,11,-14,1,0,0,1,0,0,0,0,-0.183333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibo Aslan,Rafael Cerqueira,1,0,KO/TKO,1,0:51,3 Rnd (5-5-5),Marc Goddard,Punches to Head At Distance,Light Heavyweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,1,27,8,0,0,27,8,26,2,-1,27,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoff Neal,Rafael Dos Anjos,1,0,KO/TKO,1,1:30,3 Rnd (5-5-5),Mark Smith,to   At Distance Dos Anjos leg injury,Welterweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,1,17,4,3,1,14,3,10,2,2,9,0,5,1,1,0,0,0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateusz Rebecki,Myktybek Orolbai,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Jacob Montalvo 29 - 28. Sal D'amato 28 - 29. Ben Cartlidge 28 - 29.,Catch Weight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,5,1,0,0,5,1,2,5,-2,4,1,0,0,0,1,0,0,0,-4,-1,-2,-1,-2,0,-2,-1,1,-3,1,0,0,-1,-3,0,0,-0.483333333,7,4,0,4,7,0,6,0,1,-7,3,11,1,2,0,0,-1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abus Magomedov,Brunno Ferreira,1,0,Submission,3,3:14,3 Rnd (5-5-5),Marc Goddard,Arm Triangle From Side Control,Middleweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,12,5,0,0,12,5,4,3,5,12,0,0,0,0,0,0,0,0,-1,-9,11,-2,-12,-7,-13,-2,3,-10,0,-2,0,2,3,-1,0,2.133333333,-2,-7,1,0,-3,-7,-1,-2,0,-2,-1,0,0,2,1,1,-1,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy Nzechukwu,Chris Barnett,1,0,KO/TKO,1,4:27,3 Rnd (5-5-5),Jason Herzog,Knee to Body At Distance,Heavyweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,1,39,1,0,0,39,1,25,20,-6,38,0,1,0,0,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farid Basharat,Victor Hugo,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Mike Bell 27 - 30. Hadi Mohamed Ali 28 - 29. David Lethaby 28 - 29.,Featherweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,16,-5,4,7,12,-12,7,-1,6,10,0,2,0,0,-2,-1,0,0.633333333,5,0,0,0,5,0,11,-4,-2,4,1,0,0,-1,0,0,0,-0.2,20,4,22,6,-2,-2,-2,-1,1,-3,-1,2,0,4,2,0,0,3.883333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismail Naurdiev,Bruno Silva,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato 27 - 30. Jacob Montalvo 27 - 30. Tony Weeks 27 - 30.,Middleweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,9,2,8,3,1,-1,-1,2,0,-2,3,0,0,1,4,0,0,2.05,24,3,18,3,6,0,3,3,0,3,-1,4,0,2,0,0,0,2.166666667,36,-8,13,2,23,-10,12,6,5,20,3,0,0,0,3,0,0,1.633333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rinat Fakhretdinov,Carlos Leal,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Mike Bell 28 - 29. David Lethaby 28 - 29. Hadi Mohamed Ali 27 - 30.,Welterweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,-28,-8,-24,-2,-4,-6,-2,-2,0,0,-4,0,0,1,6,0,0,1.95,-7,-14,-3,0,-4,-14,-1,2,-5,-4,0,0,0,1,2,0,0,0.883333333,8,-7,-2,-1,10,-6,13,-1,-2,6,4,0,0,-1,6,0,0,0.183333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Hernandez,Michel Pereira,1,0,KO/TKO,5,2:22,5 Rnd (5-5-5-5-5),Herb Dean,Elbows to Head On Ground,Middleweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,5,13,6,1,0,12,6,13,-3,2,5,1,6,0,1,7,0,0,1.1,45,16,17,4,28,12,25,2,1,7,0,21,0,2,4,-1,-1,2.716666667,60,8,19,2,41,6,30,9,2,6,3,32,0,2,4,0,0,4.283333333,18,13,11,8,7,5,7,0,0,1,2,4,0,1,2,0,0,2.466666667,29,1,8,0,21,1,21,0,0,3,1,17,0,2,1,0,0,2.116666667
Rob Font,Kyler Phillips,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29. Derek Cleary 28 - 29. Junichiro Kamijo 28 - 29.,Bantamweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,-14,-8,-11,-4,-3,-4,-2,-1,0,1,1,-5,0,-1,1,0,0,-3.083333333,19,-5,2,2,17,-7,17,3,-3,15,2,0,0,-2,0,0,0,0.083333333,10,-1,1,-1,9,0,16,0,-7,8,1,0,0,-1,-1,0,0,-0.383333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Johnson,Sumudaerji,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Chris Leben 28 - 29. Ron McCarthy 28 - 29.,Flyweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,9,12,14,0,-5,12,0,3,-8,-4,-1,0,0,0,2,0,0,1.216666667,9,15,2,6,7,9,5,3,-1,-3,-1,11,1,1,1,-2,-1,0.55,-12,-5,0,0,-12,-5,-4,2,-10,-12,0,0,0,1,-2,0,0,0.366666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Hadley,Cameron Smotherman,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 26 - 30. Ben Cartlidge 27 - 29. Derek Cleary 27 - 29.,Bantamweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,-13,-8,0,0,-13,-8,-5,-16,8,-13,0,0,0,0,0,0,0,0,1,-10,8,1,-7,-11,-7,-3,3,-8,1,0,0,1,0,0,0,1.116666667,-15,-39,1,0,-16,-39,-3,-12,-1,-16,0,0,0,0,1,0,0,0.766666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Elkins,Daniel Pineda,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Ben Cartlidge 28 - 29. Junichiro Kamijo 28 - 29. Tony Weeks 28 - 29.,Featherweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,-4,9,6,6,-10,3,-9,-1,0,1,0,-11,0,1,1,-2,0,0,22,21,15,5,7,16,9,-1,-1,2,-1,6,0,2,2,0,0,2.316666667,23,14,12,6,11,8,9,4,-2,8,3,0,0,0,6,0,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Nicolau,Asu Almabayev,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29. Ron McCarthy 28 - 29. Brian Puccillo 28 - 29.,Flyweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,-4,-2,0,0,-4,-2,0,-1,-3,-4,0,0,0,0,0,0,0,0,1,-1,-3,1,4,-2,5,-2,1,1,-1,4,0,-1,-4,1,0,-1.133333333,-14,-24,-8,-22,-6,-2,-4,0,-2,-2,0,-4,-1,0,0,0,0,-4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Katona,Jean Matsumoto,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Derek Cleary 28 - 29. Ron McCarthy 28 - 29.,Bantamweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,15,-19,5,0,10,-19,7,3,0,0,9,1,0,0,-4,0,0,-0.4,-4,-31,4,0,-8,-31,-5,3,-6,-9,1,0,0,1,-1,0,0,-0.2,-3,-10,-1,0,-2,-10,4,0,-6,-3,1,0,0,1,4,0,0,2.116666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joselyne Edwards,Tamires Vidal,1,0,Submission,3,4:33,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,Women's Bantamweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,46,5,23,4,23,1,15,7,1,24,-1,0,0,2,2,0,0,0.05,18,2,9,-1,9,3,4,2,3,4,5,0,0,1,0,0,0,-0.216666667,34,16,19,2,15,14,14,2,-1,8,-4,11,0,1,0,2,0,2.083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica Penne,Elise Reed,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 28 - 29. Derek Cleary 28 - 29. Ron McCarthy 28 - 29.,Women's Strawweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,-54,2,-67,-1,13,3,7,7,-1,9,4,0,0,1,4,0,0,2.683333333,-30,-2,-4,0,-26,-2,-24,-3,1,-25,-1,0,0,0,4,0,0,0.216666667,-47,-1,3,0,-50,-1,-41,-4,-5,-50,0,0,0,0,4,0,0,-0.133333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Martinez,Alice Ardelean,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 27 - 30. Ron McCarthy 27 - 30. Tony Weeks 27 - 30.,Women's Strawweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,-11,-20,-2,0,-9,-20,-7,1,-3,-8,-1,0,0,0,0,0,0,-0.033333333,-19,-19,-3,-1,-16,-18,-18,-3,5,-16,0,0,0,0,-1,0,0,-0.066666667,5,-25,0,-4,5,-21,-1,5,1,5,0,0,0,0,0,0,0,-0.583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austen Lane,Robelis Despaigne,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 28 - 29. Junichiro Kamijo 28 - 29. Brian Puccillo 28 - 29.,Heavyweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,2,4,0,2,2,2,-2,3,1,1,-3,4,0,1,2,0,0,4.316666667,1,-2,5,1,-4,-3,-9,2,3,-4,0,0,0,1,2,0,0,0.883333333,27,10,33,9,-6,1,-5,-1,0,-1,-7,2,0,1,1,0,0,3.766666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Royval,Tatsuro Taira,1,0,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Chris Lee 47 - 48. Sal D'amato 48 - 47. Ron McCarthy 47 - 48.,Flyweight Bout,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",10/12/24,5,6,25,-1,-1,7,26,6,3,-2,6,1,0,0,-1,-2,0,0,-0.733333333,-18,6,-16,-3,-2,9,-3,1,0,-2,0,0,0,-2,0,0,0,-4.166666667,74,8,23,2,51,6,49,2,0,27,9,15,0,2,-4,0,0,-0.8,-51,-30,-13,-5,-38,-25,-39,1,0,-36,-1,-1,0,-1,0,-2,-2,-1.433333333,42,14,13,5,29,9,31,-2,0,27,1,1,0,-1,-1,2,2,0.35
Brad Tavares,JunYong Park,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),,Junichiro Kamijo 29 - 28. Mike Bell 28 - 29. Eric Colon 28 - 29.,Middleweight Bout,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",10/12/24,3,6,6,-1,2,7,4,9,-2,0,4,0,3,0,0,-2,0,0,-0.6,-37,8,-1,0,-36,8,-25,1,-12,-33,-3,0,0,-1,0,0,0,-0.583333333,-20,-14,-15,-8,-5,-6,-5,-1,1,0,0,-5,0,-1,-2,0,0,-4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chidi Njokuani,Jared Gooden,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 27 - 30. Chris Lee 27 - 30. Tony Weeks 27 - 30.,Welterweight Bout,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",10/12/24,3,23,2,5,-3,18,5,4,14,0,2,16,0,0,-1,-3,0,0,2.533333333,29,-6,-12,-3,41,-3,13,22,6,7,34,0,0,0,0,0,0,3.016666667,29,9,3,-2,26,11,19,6,1,5,1,20,0,-1,-3,-1,0,1.233333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
