Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed R1  Disp.,Total Strike Missed R1  Disp.,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Total Strike Landed R2  Disp.,Total Strike Missed R2  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Total Strike Landed R3  Disp.,Total Strike Missed R3  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.,Total Strike Landed R4  Disp.,Total Strike Missed R4  Disp.,Non-Sig. Strike Landed R4  Disp.,Non-Sig. Strike Missed R4  Disp.,Sig. Strike Landed R4  Disp.,Sig. Strike Missed R4  Disp.,Head R4  Disp.,Body R4  Disp.,Leg R4  Disp.,Distance R4  Disp.,Clinch R4  Disp.,Ground R4  Disp.,Knockdowns R4  Disp.,TD Completed R4  Disp.,TD Missed R4  Disp.,Sub. Att R4  Disp.,Rev. R4  Disp.,Ctrl Time (Minutes) R4  Disp.,Total Strike Landed R5  Disp.,Total Strike Missed R5  Disp.,Non-Sig. Strike Landed R5  Disp.,Non-Sig. Strike Missed R5  Disp.,Sig. Strike Landed R5  Disp.,Sig. Strike Missed R5  Disp.,Head R5  Disp.,Body R5  Disp.,Leg R5  Disp.,Distance R5  Disp.,Clinch R5  Disp.,Ground R5  Disp.,Knockdowns R5  Disp.,TD Completed R5  Disp.,TD Missed R5  Disp.,Sub. Att R5  Disp.,Rev. R5  Disp.,Ctrl Time (Minutes) R5  Disp.
Nikita Krylov,Misha Cirkunov,0,1,Submission,1,4:38,3 Rnd (5-5-5),John McCarthy,Guillotine Choke On Ground,Light Heavyweight Bout,UFC 206: Holloway vs. Pettis,"Toronto, Ontario, Canada",12/10/16,1,13,3,5,0,8,3,-1,4,5,6,2,0,0,-1,0,-1,-1,0.883333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivier Aubin-Mercier,Drew Dober,1,0,Submission,2,2:57,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke,Lightweight Bout,UFC 206: Holloway vs. Pettis,"Toronto, Ontario, Canada",12/10/16,2,10,-18,-1,0,11,-18,12,-3,2,11,0,0,0,0,0,0,0,0,-13,-3,-5,0,-8,-3,0,-8,0,1,0,-9,-1,0,0,1,1,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valerie Letourneau,Viviane Pereira,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,Eric Colon 28 - 29. Greg Jackson 29 - 28. Cardo Urso 28 - 29.,Women's Strawweight Bout,UFC 206: Holloway vs. Pettis,"Toronto, Ontario, Canada",12/10/16,3,23,7,10,-3,13,10,11,2,0,1,3,9,0,1,0,0,0,0.25,3,16,-2,-4,5,20,1,4,0,5,1,-1,0,-1,0,0,0,-1.45,1,3,-3,-1,4,4,6,3,-5,5,-1,0,0,0,0,0,0,-0.766666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitch Gagnon,Matthew Lopez,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Cardo Urso 28 - 29. Greg Jackson 28 - 29. Eric Colon 27 - 29.,Bantamweight Bout,UFC 206: Holloway vs. Pettis,"Toronto, Ontario, Canada",12/10/16,3,11,1,-2,-1,13,2,14,-2,1,-3,2,14,1,0,2,0,-1,0.066666667,-11,-7,-4,0,-7,-7,-9,2,0,0,1,-8,0,-2,1,-1,0,-3.616666667,-11,0,-6,0,-5,0,-3,-3,1,-3,1,-3,0,-2,-1,0,0,-3.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Makdessi,Lando Vannata,0,1,KO/TKO,1,1:40,3 Rnd (5-5-5),Todd Ronald Anderson,Kick to Head At Distance Wheel Kick,Lightweight Bout,UFC 206: Holloway vs. Pettis,"Toronto, Ontario, Canada",12/10/16,1,1,-20,0,0,1,-20,-1,0,2,1,0,0,-1,0,0,0,0,-0.016666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Saggo,Rustam Khabilov,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,David Therien 27 - 30. Pasquale Procopio 27 - 30. Patrick Goulah 27 - 30.,Lightweight Bout,UFC 206: Holloway vs. Pettis,"Toronto, Ontario, Canada",12/10/16,3,-10,-1,-9,-1,-1,0,-6,2,3,-1,0,0,0,-1,0,0,0,-2.083333333,-21,2,-7,0,-14,2,-14,-2,2,-12,0,-2,0,-1,1,0,0,-1.166666667,-19,-7,-11,2,-8,-9,-12,1,3,3,0,-11,0,-2,0,0,0,-2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Makovsky,Dustin Ortiz,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Jerin Valel,Pasquale Procopio 28 - 29. David Therien 29 - 28. Patrick Buckley 28 - 29.,Flyweight Bout,UFC 206: Holloway vs. Pettis,"Toronto, Ontario, Canada",12/10/16,3,-20,-1,-21,0,1,-1,-1,2,0,2,-1,0,0,0,-1,0,1,-2.3,-48,-8,-41,-6,-7,-2,-3,-3,-1,-1,0,-6,0,-1,0,1,-1,-3.333333333,-12,-5,-5,0,-7,-5,-7,2,-2,-2,1,-6,0,1,2,0,-1,-0.416666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Lewis,Shamil Abdurakhimov,1,0,KO/TKO,4,3:42,5 Rnd (5-5-5-5-5),Dan Miragliotta,Punches to Head From Mount,Heavyweight Bout,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",12/9/16,4,-20,-2,-17,-1,-3,-1,-2,0,-1,1,-3,-1,0,-1,-4,-1,0,-2.216666667,-34,3,-32,-2,-2,5,2,-3,-1,-2,1,-1,0,-2,0,0,0,-3.033333333,-2,7,-5,-4,3,11,3,1,-1,3,0,0,0,-1,0,0,0,-1.166666667,27,20,1,0,26,20,25,2,-1,0,2,24,0,1,1,-1,0,1.066666667,,,,,,,,,,,,,,,,,,
Francis Ngannou,Anthony Hamilton,1,0,Submission,1,1:57,3 Rnd (5-5-5),John McCarthy,Kimura Standing,Heavyweight Bout,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",12/9/16,1,1,-3,0,0,1,-3,0,0,1,1,0,0,0,-1,-1,1,0,-0.633333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Anderson,Sean O'Connell,1,0,KO/TKO,2,2:36,3 Rnd (5-5-5),Todd Ronald Anderson,Punches to Head From Mount,Light Heavyweight Bout,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",12/9/16,2,45,6,14,1,31,5,29,1,1,1,0,30,0,4,0,0,0,4.366666667,34,19,8,0,26,19,28,-1,-1,0,0,26,0,1,0,0,0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
